game_pk,pitcher_id,game_date,pitcher_name,strikeouts,swinging_strikes,total_pitches,avg_velocity,avg_spin_rate,swstr_pct,rolling_k,rolling_swstr,rolling_velocity,rolling_pitches
823876,676974,2026-05-02,"Meyer, Max",7,12,83,91.40361445783132,2503.132530120482,0.14457831325301204,5.6,0.13280070272916683,91.01264975798718,85.2
823870,676974,2026-05-07,"Meyer, Max",5,11,94,91.17234042553193,2545.8297872340427,0.11702127659574468,5.8,0.13699726425617373,91.09247377314894,84.0
823710,676974,2026-05-13,"Meyer, Max",9,22,96,90.63020833333333,2512.3333333333335,0.22916666666666666,6.0,0.14201071497762152,91.03728668584154,85.4
823867,676974,2026-05-18,"Meyer, Max",6,11,97,91.27319587628865,2527.577319587629,0.1134020618556701,6.8,0.15369770684754022,90.96698688909356,88.2
823862,676974,2026-05-23,"Meyer, Max",8,9,95,90.98315789473683,2629.294736842105,0.09473684210526316,6.4,0.13901548185603688,91.18470298742821,89.4
823623,676974,2026-05-29,"Meyer, Max",6,10,106,90.48301886792453,2514.830188679245,0.09433962264150944,7.0,0.13978103209527132,91.0925033975444,93.0
822727,676974,2026-06-03,"Meyer, Max",7,12,92,91.1304347826087,2608.75,0.13043478260869565,6.8,0.12973329397297081,90.90838427956305,97.6
823858,676974,2026-06-09,"Meyer, Max",5,11,95,90.23684210526316,2614.9578947368423,0.11578947368421053,7.2,0.132415995175561,90.9000031509784,97.2
823368,676974,2026-06-14,"Meyer, Max",8,13,105,91.09904761904761,2668.7238095238095,0.12380952380952381,6.4,0.10974055657906978,90.82132990536438,97.0
823854,676974,2026-06-20,"Meyer, Max",7,8,98,91.66530612244898,2696.734693877551,0.08163265306122448,6.8,0.11182204896984052,90.78650025391616,98.6
823039,676974,2026-06-26,"Meyer, Max",5,8,89,91.88988764044943,2625.2022471910113,0.0898876404494382,6.6,0.10920121116103279,90.9229298994586,99.2
824337,676974,2026-07-01,"Meyer, Max",5,13,78,90.26282051282051,2709.0897435897436,0.16666666666666666,6.4,0.10831081472261854,91.20430365396359,95.8
823847,676974,2026-07-07,"Meyer, Max",4,5,80,91.1875,2693.575,0.0625,6.0,0.11555719153421273,91.03078080000594,93.0
823763,676974,2026-07-18,"Meyer, Max",5,7,74,91.55,2756.391891891892,0.0945945945945946,5.8,0.10489929679737062,91.22091237895332,90.0
824851,676979,2026-04-25,"Crochet, Garrett",7,12,90,92.54555555555557,2338.9,0.13333333333333333,6.0,0.10343220416404016,92.20347027480106,85.6
822824,677944,2026-04-26,"Cecconi, Slade",5,10,90,88.90333333333334,2233.8,0.1111111111111111,4.0,0.08391167491065724,86.4426779590543,88.8
825014,677944,2026-05-02,"Cecconi, Slade",3,8,69,89.88260869565217,2286.68115942029,0.11594202898550725,4.0,0.09108013369201924,87.13022634615108,88.2
