game_pk,pitcher_id,game_date,pitcher_name,home_away,team_id,team_name,opponent_id,opponent_name,strikeouts,swinging_strikes,total_pitches,avg_velocity,avg_spin_rate,swstr_pct,opponent_k_rate,rolling_k,rolling_swstr,rolling_velocity,rolling_pitches
823867,676974,2026-05-18,"Meyer, Max",home,146,Miami Marlins,144,Atlanta Braves,6,11,97,91.27319587628865,2527.577319587629,0.1134020618556701,0.2059483726150393,6.8,0.15369770684754022,90.96698688909356,88.2
823862,676974,2026-05-23,"Meyer, Max",home,146,Miami Marlins,121,New York Mets,8,9,95,90.98315789473683,2629.294736842105,0.09473684210526316,0.2112159329140461,6.4,0.13901548185603688,91.18470298742821,89.4
823623,676974,2026-05-29,"Meyer, Max",away,146,Miami Marlins,121,New York Mets,6,10,106,90.48301886792453,2514.830188679245,0.09433962264150944,0.2155544887181949,7.0,0.13978103209527132,91.0925033975444,93.0
822727,676974,2026-06-03,"Meyer, Max",away,146,Miami Marlins,120,Washington Nationals,7,12,92,91.1304347826087,2608.75,0.13043478260869565,0.21316225165562913,6.8,0.12973329397297081,90.90838427956305,97.6
823858,676974,2026-06-09,"Meyer, Max",home,146,Miami Marlins,109,Arizona Diamondbacks,5,11,95,90.23684210526316,2614.9578947368423,0.11578947368421053,0.2002492729538845,7.2,0.132415995175561,90.9000031509784,97.2
823368,676974,2026-06-14,"Meyer, Max",away,146,Miami Marlins,134,Pittsburgh Pirates,8,13,105,91.09904761904761,2668.7238095238095,0.12380952380952381,0.2362657091561939,6.4,0.10974055657906978,90.82132990536438,97.0
823854,676974,2026-06-20,"Meyer, Max",home,146,Miami Marlins,137,San Francisco Giants,7,8,98,91.66530612244898,2696.734693877551,0.08163265306122448,0.2026120720084716,6.8,0.11182204896984052,90.78650025391616,98.6
823039,676974,2026-06-26,"Meyer, Max",away,146,Miami Marlins,138,St. Louis Cardinals,5,8,89,91.88988764044943,2625.2022471910113,0.0898876404494382,0.2021636240703178,6.6,0.10920121116103279,90.9229298994586,99.2
824337,676974,2026-07-01,"Meyer, Max",away,146,Miami Marlins,115,Colorado Rockies,5,13,78,90.26282051282051,2709.0897435897436,0.16666666666666666,0.2319634703196347,6.4,0.10831081472261854,91.20430365396359,95.8
823847,676974,2026-07-07,"Meyer, Max",home,146,Miami Marlins,136,Seattle Mariners,4,5,80,91.1875,2693.575,0.0625,0.23203285420944558,6.0,0.11555719153421273,91.03078080000594,93.0
823763,676974,2026-07-18,"Meyer, Max",away,146,Miami Marlins,158,Milwaukee Brewers,5,7,74,91.55,2756.391891891892,0.0945945945945946,0.20990255464840663,5.8,0.10489929679737062,91.22091237895332,90.0
824851,676979,2026-04-25,"Crochet, Garrett",away,111,Boston Red Sox,110,Baltimore Orioles,7,12,90,92.54555555555557,2338.9,0.13333333333333333,0.24172517552657974,6.0,0.10343220416404016,92.20347027480106,85.6
822824,677944,2026-04-26,"Cecconi, Slade",away,114,Cleveland Guardians,141,Toronto Blue Jays,5,10,90,88.90333333333334,2233.8,0.1111111111111111,0.18255578093306288,4.0,0.08391167491065724,86.4426779590543,88.8
825014,677944,2026-05-02,"Cecconi, Slade",away,114,Cleveland Guardians,133,Athletics,3,8,69,89.88260869565217,2286.68115942029,0.11594202898550725,0.2255456750202102,4.0,0.09108013369201924,87.13022634615108,88.2
824117,677944,2026-05-07,"Cecconi, Slade",away,114,Cleveland Guardians,118,Kansas City Royals,3,2,82,88.82317073170732,2338.560975609756,0.024390243902439025,0.2246065808297568,3.4,0.08368030419500304,87.7116892617521,85.0
824442,677944,2026-05-12,"Cecconi, Slade",home,114,Cleveland Guardians,108,Los Angeles Angels,7,8,89,92.4134831460674,2323.449438202247,0.0898876404494382,0.25327510917030566,3.4,0.07914658826960849,88.22032340809358,84.4
824277,677944,2026-05-18,"Cecconi, Slade",away,114,Cleveland Guardians,116,Detroit Tigers,4,6,96,88.75729166666667,2253.3125,0.0625,0.2267743796884016,4.0,0.08103216233650763,88.84600854305418,84.8
823458,677944,2026-05-23,"Cecconi, Slade",away,114,Cleveland Guardians,143,Philadelphia Phillies,5,7,86,87.99302325581395,2175.4767441860463,0.08139534883720931,0.22146951537258988,4.4,0.08076620488969913,89.75597751468538,85.2
824433,677944,2026-05-29,"Cecconi, Slade",home,114,Cleveland Guardians,111,Boston Red Sox,3,6,69,89.3768115942029,2298.5942028985505,0.08695652173913043,0.22040423484119345,4.4,0.07482305243491875,89.5739154991815,84.4
823542,677944,2026-06-04,"Cecconi, Slade",away,114,Cleveland Guardians,147,New York Yankees,4,11,82,86.5390243902439,2268.390243902439,0.13414634146341464,0.22997416020671835,4.4,0.06902595098564339,89.47275607889165,84.4
824429,677944,2026-06-09,"Cecconi, Slade",home,114,Cleveland Guardians,147,New York Yankees,7,10,87,87.78735632183908,2343.1954022988507,0.11494252873563218,0.22961460446247464,4.6,0.09097717049783852,89.01592681059897,84.4
823775,677944,2026-06-16,"Cecconi, Slade",away,114,Cleveland Guardians,158,Milwaukee Brewers,4,6,82,87.39146341463415,2289.817073170732,0.07317073170731707,0.2055350553505535,4.6,0.09598814815507731,88.0907014457533,84.0
824177,677944,2026-06-21,"Cecconi, Slade",away,114,Cleveland Guardians,117,Houston Astros,1,4,79,88.12658227848101,2365.253164556962,0.05063291139240506,0.21808330511344395,4.6,0.09812229449654072,87.8175357953468,81.2
824421,677944,2026-06-27,"Cecconi, Slade",home,114,Cleveland Guardians,136,Seattle Mariners,4,8,87,88.03563218390805,2326.183908045977,0.09195402298850575,0.22832369942196531,3.8,0.09196980700757987,87.84424759988022,79.8
824416,677944,2026-07-02,"Cecconi, Slade",home,114,Cleveland Guardians,145,Chicago White Sox,3,5,100,89.009,2390.58,0.05,0.23825710754017304,4.0,0.09296930725745493,87.57601171782123,83.4
823684,677944,2026-07-08,"Cecconi, Slade",away,114,Cleveland Guardians,142,Minnesota Twins,4,6,67,88.5268656716418,2303.8805970149256,0.08955223880597014,0.21650071123755335,3.8,0.07614003896477202,88.07000683977246,87.0
824408,677944,2026-07-22,"Cecconi, Slade",home,114,Cleveland Guardians,142,Minnesota Twins,5,6,88,88.17613636363636,2299.693181818182,0.06818181818181818,0.21548387096774194,3.2,0.07106198097883962,88.217908709733,83.0
